Participant ,Accent,Word,Sentence Number,F1,F2,Expected,Realized,IPA of Vowel,Gender,Age
1,Scottish,Look,1,451.81,1334.41,/lʉk/,/lʉk/,,Male - Cis,20
1,Scottish,Look,1,460.1,1353.41,/lʉk/,/lʉk/,,Male - Cis,20
1,Scottish,Look,1,425.2,1328.93,/lʉk/,/lʉk/,,Male - Cis,20
1,Scottish,Look,2,434.14,1397.27,/lʉk/,/lʉk/,,Male - Cis,20
1,Scottish,Look,2,434.47,1359.31,/lʉk/,/lʉk/,,Male - Cis,20
1,Scottish,Look,2,413.29,1347.74,/lʉk/,/lʉk/,,Male - Cis,20
1,Scottish,Look,3,371.89,1315.26,/lʉk/,/lʉk/,,Male - Cis,20
1,Scottish,Look,3,449.11,1270.3,/lʉk/,/lʉk/,,Male - Cis,20
1,Scottish,Look,3,413.54,1419.03,/lʉk/,/lʉk/,,Male - Cis,20
1,Scottish,Luck,4,629.36,958.77,/lʌk/,/lʌk/,,Male - Cis,20
1,Scottish,Luck,4,634.22,979.88,/lʌk/,/lʌk/,,Male - Cis,20
1,Scottish,Luck,4,609.38,1010.88,/lʌk/,/lʌk/,,Male - Cis,20
1,Scottish,Luck,5,626.63,1053.11,/lʌk/,/lʌk/,,Male - Cis,20
1,Scottish,Luck,5,666.41,1101.83,/lʌk/,/lʌk/,,Male - Cis,20
1,Scottish,Luck,5,607.73,1068.87,/lʌk/,/lʌk/,,Male - Cis,20
1,Scottish,Luck,6,635.53,1084.71,/lʌk/,/lʌk/,,Male - Cis,20
1,Scottish,Luck,6,577.65,1112.08,/lʌk/,/lʌk/,,Male - Cis,20
1,Scottish,Luck,6,593.36,1019.73,/lʌk/,/lʌk/,,Male - Cis,20
2,Scottish,Look,1,384.49,1649.33,/lʉk/,/lʉk/,,Female - Cis,19
2,Scottish,Look,1,482.34,1719.27,/lʉk/,/lʉk/,,Female - Cis,19
2,Scottish,Look,1,458.42,1520.64,/lʉk/,/lʉk/,,Female - Cis,19
2,Scottish,Look,2,411.67,1322.12,/lʉk/,/lʉk/,,Female - Cis,19
2,Scottish,Look,2,394.84,1315.35,/lʉk/,/lʉk/,,Female - Cis,19
2,Scottish,Look,2,464.95,1356.45,/lʉk/,/lʉk/,,Female - Cis,19
2,Scottish,Look,3,394.58,1175.79,/lʉk/,/lʉk/,,Female - Cis,19
2,Scottish,Look,3,404.7,1170.91,/lʉk/,/lʉk/,,Female - Cis,19
2,Scottish,Look,3,412.75,1108.98,/lʉk/,/lʉk/,,Female - Cis,19
2,Scottish,Luck,4,534.74,1070.9,/lʌk/,/lʌk/,,Female - Cis,19
2,Scottish,Luck,4,682.26,1144.76,/lʌk/,/lʌk/,,Female - Cis,19
2,Scottish,Luck,4,669.65,1176.86,/lʌk/,/lʌk/,,Female - Cis,19
2,Scottish,Luck,5,594.94,1189.62,/lʌk/,/lʌk/,,Female - Cis,19
2,Scottish,Luck,5,546.91,1194.57,/lʌk/,/lʌk/,,Female - Cis,19
2,Scottish,Luck,5,651.17,1147.93,/lʌk/,/lʌk/,,Female - Cis,19
2,Scottish,Luck,6,660.02,1128,/lʌk/,/lʌk/,,Female - Cis,19
2,Scottish,Luck,6,564.71,1085.32,/lʌk/,/lʌk/,,Female - Cis,19
2,Scottish,Luck,6,594.94,1091.82,/lʌk/,/lʌk/,,Female - Cis,19
3,Northern English,Look,1,492.26,1114.45,/lʊk/,/lʊk/,,Male - Cis,23
3,Northern English,Look,1,515.86,1141.48,/lʊk/,/lʊk/,,Male - Cis,23
3,Northern English,Look,1,489.85,1159.33,/lʊk/,/lʊk/,,Male - Cis,23
3,Northern English,Look,2,491.22,1151.46,/lʊk/,/lʊk/,,Male - Cis,23
3,Northern English,Look,2,494.48,1257.76,/lʊk/,/lʊk/,,Male - Cis,23
3,Northern English,Look,2,505.51,1171.87,/lʊk/,/lʊk/,,Male - Cis,23
3,Northern English,Look,3,513.16,1083.16,/lʊk/,/lʊk/,,Male - Cis,23
